m,n,k,distribution,Intra,Inter,Borda,Copeland,Sum,"Approval (t=0.1, penalty=1)","Approval (t=0.1, penalty=0)","Approval (t=0.3, penalty=1)","Approval (t=0.3, penalty=0)","Approval (t=0.5, penalty=1)","Approval (t=0.5, penalty=0)","Approval (t=0.7, penalty=1)","Approval (t=0.7, penalty=0)","Approval (t=0.9, penalty=1)","Approval (t=0.9, penalty=0)"
8,10,5,uniform,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.0,0.05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.11083750000000145,0.03276071428571333,0.49855,0.00305,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.0,0.1,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.17474107142858053,0.034957142857143284,0.19039999999998566,0.025649999999999198,0.45525357142857237,0.03143214285714287,0.5,0.0,0.5,0.0
8,10,5,uniform,0.0,0.15,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.23205178571428345,0.03691785714285714,0.11083571428571545,0.032396428571427785,0.22767499999999172,0.02904999999999946,0.41486785714285934,0.03979285714285723,0.4986875,0.00325
8,10,5,uniform,0.0,0.2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.25930000000001824,0.02081071428571386,0.12296607142857797,0.0382249999999987,0.136596428571434,0.02260357142857095,0.24942857142857397,0.03149642857142832,0.3912660714285758,0.04200357142857157
8,10,5,uniform,0.0,0.25,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.2787375000000281,0.01948214285714275,0.14606964285714755,0.038503571428570894,0.11061071428571588,0.03222142857142789,0.16793392857142478,0.02511785714285634,0.26099464285715146,0.03136071428571405
8,10,5,uniform,0.0,0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.3139982142857411,0.028471428571428908,0.17654642857143796,0.03611071428571486,0.10794821428571678,0.0316321428571425,0.1274964285714339,0.024774999999999547,0.1901482142857,0.025939285714284926
8,10,5,uniform,0.05,0.0,0.09784642857143122,0.10623928571428778,0.047428571428570876,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.05,0.05,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.10262142857142782,0.03616071428571309,0.49084285714285725,0.010296428571428573,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.05,0.1,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.18957142857143888,0.0401142857142865,0.17318749999999383,0.02781785714285646,0.43378750000000227,0.038092857142857185,0.5,0.0,0.5,0.0
8,10,5,uniform,0.05,0.15,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.24068214285714362,0.035282142857143005,0.10407499999999922,0.0323464285714278,0.21457857142855805,0.028553571428570842,0.39902857142857523,0.042385714285714395,0.4971375,0.0054
8,10,5,uniform,0.05,0.2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.26568035714288035,0.021182142857142507,0.12558035714286267,0.04147499999999818,0.13221071428571987,0.02436428571428508,0.2382410714285703,0.03155714285714247,0.37900535714286226,0.042075000000000196
8,10,5,uniform,0.05,0.25,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.2953375000000287,0.026328571428571517,0.1504892857142913,0.038399999999999594,0.10622678571428534,0.032699999999999105,0.1629482142857125,0.026274999999999205,0.25508750000000535,0.033117857142856914
8,10,5,uniform,0.05,0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.32891250000002104,0.0290892857142861,0.18120000000001069,0.03663928571428633,0.1111214285714319,0.034264285714284824,0.12493571428571909,0.026389285714285258,0.1841214285714174,0.026274999999999243
8,10,5,uniform,0.1,0.0,0.09895357142857375,0.10493571428571674,0.04704642857142812,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.1,0.05,0.00018214285714293128,0.00018214285714293128,2.8571428571539536e-05,0.11166964285714416,0.04379999999999792,0.47357857142857246,0.02481071428571429,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.1,0.1,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.19826607142856775,0.04331785714285798,0.15640714285714424,0.028014285714284954,0.4124892857142878,0.04274642857142866,0.4999625,0.0002,0.5,0.0
8,10,5,uniform,0.1,0.15,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.24949642857143636,0.0322642857142856,0.10094642857142702,0.03279999999999931,0.2023499999999851,0.02885714285714223,0.3829589285714335,0.043935714285714376,0.4949964285714286,0.008921428571428571
8,10,5,uniform,0.1,0.2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.2778071428571674,0.024889285714285468,0.12746964285714718,0.04280714285714108,0.1287178571428617,0.026442857142856553,0.2284035714285656,0.031182142857142388,0.3675303571428661,0.04178571428571446
8,10,5,uniform,0.1,0.25,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.31305535714288113,0.030010714285714595,0.15865178571429212,0.04047499999999971,0.10200892857142711,0.03175357142857079,0.1550535714285734,0.026074999999999238,0.24567857142857338,0.03298928571428546
8,10,5,uniform,0.1,0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.341376785714303,0.02865357142857181,0.18607321428572554,0.03780714285714351,0.11403392857143282,0.036910714285713055,0.12262321428571854,0.028560714285713527,0.17880357142856285,0.026603571428570713
8,10,5,uniform,0.15,0.0,0.09369285714285934,0.10662142857143038,0.04705357142857099,0.4989982142857142,0.0006999999999999999,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.15,0.05,0.0015964285714285915,0.0015857142857143053,0.0005428571428571623,0.12865178571428743,0.05144285714285538,0.442566071428573,0.03829642857142859,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.15,0.1,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.211951785714274,0.04573214285714383,0.14386250000000428,0.030160714285713482,0.3913535714285738,0.04564285714285724,0.499775,0.000725,0.5,0.0
8,10,5,uniform,0.15,0.15,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.2599142857143007,0.03185714285714282,0.1015339285714276,0.0355107142857131,0.19143749999998982,0.02995714285714226,0.36650892857143547,0.044267857142857324,0.49163035714285735,0.011325
8,10,5,uniform,0.15,0.2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.2942250000000267,0.030103571428571604,0.1298160714285756,0.042571428571426984,0.12310714285714733,0.0284214285714279,0.21919285714284734,0.03082142857142811,0.3541267857142946,0.04143571428571446
8,10,5,uniform,0.15,0.25,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.3256535714285939,0.027646428571428898,0.16100357142857868,0.03889285714285703,0.1006178571428556,0.031135714285713722,0.1493464285714314,0.02648214285714211,0.23762142857142593,0.03257857142857116
8,10,5,uniform,0.15,0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.3497946428571552,0.02456071428571453,0.18889107142858375,0.038853571428572084,0.11604107142857599,0.03909285714285571,0.11973392857143206,0.03039642857142775,0.17459107142856622,0.02831785714285648
8,10,5,uniform,0.2,0.0,0.09556428571428788,0.10810714285714475,0.04726428571428529,0.44361428571428635,0.028282142857142843,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.2,0.05,0.0031285714285714155,0.0030499999999999863,0.0010821428571428713,0.14987142857143138,0.060696428571428464,0.4046482142857134,0.04600357142857147,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.2,0.1,0.00018571428571434546,0.00018571428571434546,2.8571428571539536e-05,0.22835535714285207,0.04632857142857231,0.1329732142857183,0.032999999999998954,0.3663035714285752,0.048017857142857244,0.4989,0.002275,0.5,0.0
8,10,5,uniform,0.2,0.15,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.27429464285716193,0.03425714285714311,0.10523392857142917,0.03903928571428399,0.1809357142857095,0.031149999999999324,0.3501017857142943,0.044521428571428726,0.48642500000000016,0.015128571428571427
8,10,5,uniform,0.2,0.2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.30979464285716735,0.0315464285714289,0.13425178571428997,0.0424999999999986,0.1187071428571463,0.03135357142857048,0.2104464285714168,0.03231071428571382,0.3423053571428669,0.043257142857143
8,10,5,uniform,0.2,0.25,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.3395214285714447,0.028525000000000345,0.16907500000000655,0.04156071428571464,0.10027857142856973,0.032603571428570725,0.1436785714285756,0.02744999999999929,0.22892857142856693,0.03292857142857102
8,10,5,uniform,0.2,0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.35625000000001017,0.021635714285714425,0.19168214285715035,0.04008571428571494,0.11703571428571809,0.040817857142855414,0.11615892857143174,0.03168928571428485,0.16743392857142497,0.02751785714285648
8,10,5,uniform,0.25,0.0,0.09698928571428764,0.10507500000000211,0.044649999999999586,0.31831071428571406,0.10085714285714398,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.25,0.05,0.005696428571428493,0.005642857142857064,0.0021071428571428647,0.17647321428571522,0.07137500000000069,0.36235357142857116,0.05347857142857134,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.25,0.1,0.0005642857142857332,0.0005642857142857325,0.000242857142857186,0.2475357142857175,0.04945357142857218,0.12425892857143164,0.03629285714285588,0.3447357142857163,0.0482535714285715,0.49720714285714285,0.0053607142857142855,0.5,0.0
8,10,5,uniform,0.25,0.15,2.1428571428682406e-05,2.1428571428682406e-05,1.1102230246251565e-16,0.29053928571430704,0.03713571428571476,0.10813035714285825,0.041610714285712315,0.1706089285714264,0.03209642857142776,0.33451785714286597,0.04473928571428577,0.48022321428571485,0.01945
8,10,5,uniform,0.25,0.2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.3251410714285911,0.03249285714285759,0.14122500000000426,0.044203571428570204,0.1146303571428598,0.03267857142857047,0.20150714285713195,0.0313749999999995,0.3316696428571528,0.042828571428571584
8,10,5,uniform,0.25,0.25,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.3492642857142985,0.02753214285714318,0.1732446428571491,0.0432857142857148,0.10232857142857028,0.03520714285714181,0.137966071428576,0.026982142857142212,0.2213571428571339,0.032482142857142446
8,10,5,uniform,0.25,0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.36049642857143516,0.019135714285714353,0.19541428571428685,0.04286428571428655,0.11849464285714591,0.04210357142856962,0.11243035714285925,0.03287857142857036,0.16185714285714256,0.02802142857142785
8,10,5,uniform,0.3,0.0,0.0953464285714309,0.10432142857143079,0.04609285714285666,0.25948392857142794,0.16245357142857147,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,uniform,0.3,0.05,0.008525000000000107,0.008282142857142932,0.003135714285714281,0.205787499999999,0.08532500000000098,0.32231071428571434,0.05763214285714278,0.499925,0.000375,0.5,0.0,0.5,0.0
